"Werk","Autor","Zeit/Entstehung","Berichtszeit/Laufzeit","Prägung/Weltbild","Geprägt von (Quellen)","Überlieferung/Edition (Signatur)","Digital (Hinweis)","Prägte (Wirkung)","Notizen"
"Fründ (Hans Fründ)","Hans Fründ","1440er–1460er","1436–1447","Schwyz/Eidgenössisch","Amtliche Akten, eigene Teilnahme","Edition: e-rara, ZB Zürich","e-rara Online","Bernische Chronistik; Tschachtlan/Schilling; 19. Jh.","Frontchronist; hohe Dichte"
"Hemmerlin (Felix Hemmerlin/Malleolus)","Felix Hemmerlin","ca. 1440er; Druck 1493–1500","—","Adel-/Stände-Apologie, anti-Schwyz","Gelehrte Tradition","Inkunabel: Johann Prüss, Straßburg","GW/ISTC","Stumpf zitiert","Anti-Bauern-Topos"
"Etterlin (Petermann Etterlin, Kronika)","Petermann Etterlin","1505–1507; Druck 1507 Basel","bis 1503","Gesamt-eidgenössisch, Bruderkrieg","Kompilation","Erstdruck Basel 1507","e-rara","Schilling d. J.; Schodoler","früher Druckrahmen"
"Schilling d. Ä. (Diebold Schilling, Berner Chronik)","Diebold Schilling d. Ä.","1483","bis 1483","Amtlich, Tschachtlan-basiert","Tschachtlan; Berner Akten","Bern: Amtliche Hss.","digibern/e-manuscripta","Bern-Tradition","kanonbildend"
"Tschachtlan (Benedikt Tschachtlan)","Benedikt Tschachtlan; Heinrich Dittlinger","1470/71","bis 1471","Bernisch, fründ-nah","Justinger; Fründ","ZB Zürich, Ms A 120","e-manuscripta","Schilling; Berner Kanon","Bilderchronik"
"Justinger (Konrad Justinger, Berner Chronik)","Konrad Justinger","1420er","bis 1421","Bernisch, städtisch","Berner Archive","Bern Hss./Drucke","—","Tschachtlan; Schilling","Rechtschronik"
"Edlibach (Gerold Edlibach, Zürcher Chronik)","Gerold Edlibach (+ Ludwig)","1485–1530","1436–1530","Eidgenössisch mit Zürich-Würdigung","Zürcher Akten","ZB Zürich, Ms A 75","e-manuscripta","Brennwald; Stumpf","Zürcher Stimme"
"Stumpf (Johannes Stumpf, Schweizerchronik)","Johannes Stumpf","1547–1548 (Druck)","bis 1546+","Zürcher Fokus, versöhnend","Brennwald; Edlibach; Hemmerlin","Erstdruck 1548","e-rara","200 Jahre Standard","Reformation"
"Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum)","Aegidius Tschudi","1550–1570; Druck 1734–36","1000–1470","Altgläubig, materialreich","Klingenberger; Zürcher Stadtchronik; Gegenpartei-Akten","Erstdruck Basel 1734–36","ETH-Heritage/Archive","Johann von Müller; 18./19. Jh.","maßgeblich"
"Anshelm (Valerius Anshelm, Berner Chronik)","Valerius Anshelm","ab 1529","bis 1530er","Bernisch, zurückhaltend","Berner Archive","Bern Hss./Drucke","HLS","Stettler","reformiert-orthodox"
