src;tgt;total;bib_hits;examples;text_hits;weighted
bihrer-andreas;Langmaier-konstantin;1;0;"Stark (wie Anm. 1), 36-41; Kramml, Heinrich (wie Anm. 1), 390. Vgl. Konstantin Maier: Die Konstanzer Didzesansynoden im Mittelalter und in d";1;1
bihrer-andreas;bihrer-andreas;1;0;ierung des Konstanzer Bischofs Heinrich von Hewen (1436-1462) Andreas Bihrer Der Amtsantritt des Konstanzer Bischofs Heinrich von Hewen! i;1;1
bihrer-andreas;bosshard-werner;2;0;"nstanz, Basel/Frankfurt a. M. 1993, 274-376, hier 351-356; Dies. und Werner Kundert: Das Domstift. Die Dignitare, in: Helvetia Sacra, Bd. 1, | ich auf den 22. Dezember datierte. Die Zeremonie auch bei Graf Wilhelm Werner von Zimmern: Konstanzer Bistumschronik (Universitatsbibliothek";2;2
bihrer-andreas;heinrich-speich;42;0;Vermittlungsbemiihungen und Selbstinszenierung des Konstanzer Bischofs Heinrich von Hewen (1436-1462) Andreas Bihrer Der Amtsantritt des K | n (1436-1462) Andreas Bihrer Der Amtsantritt des Konstanzer Bischofs Heinrich von Hewen! im Jahr 1436 war grossartig inszeniert: obwohl er | itel gewahlt und.im September vom Papst bestatigt worden war, verlegte Heinrich seine Amtseinfiihrung symboltrachtig in die Weihnachtszeit.;42;42
bihrer-andreas;niederhauser-peter;4;0;"hts das Hewen-Wappen) wurden nachtraglich angebracht. (Foto: Peter Niederhauser) erhGéht, wo wichtige Besitzungen der Konstanzer Bisch6fe u | hellas ist in den spateren Arbeiten durchweg tibernommen worden; nach Peter F. Kramml ist die Beurteilung Heinrichs als «Friedensbischof [.. | begonnenen Bau von Schule und Bibliothek vgl. ebd., Nr. 176-177, und Peter F. Kramml: Die Domschule. Lateinunterricht als bisch6fliches Mon";4;4
bihrer-andreas;speck-dieter;5;0;"7 r-17 r, hier fol. 7 r; freundliche Mitteilung von Dr. Dieter Speck, Freiburg i. Br.), zur Liste vgl. Dieter Speck: Die vorderésterreichisc | ], fol. 7 r-17 r, hier fol. 7 r; freundliche Mitteilung von Dr. Dieter Speck, Freiburg i. Br.), zur Liste vgl. Dieter Speck: Die vorderéster | tteilung von Dr. Dieter Speck, Freiburg i. Br.), zur Liste vgl. Dieter Speck: Die vorderésterreichischen Landstande. Entstehung, Entwicklung";5;5
bihrer-andreas;stettler-bernhard;10;0;"e religidse Sphare, da theologische Autoritaéten wie Augustinus oder Bernhard von Clairvaux diese Formulierung verwendeten. Die allein auf B | Ausgang des Mittelalters, Wien/K6ln/Weimar 1993, 381; zuletzt Bernhard Stettler: Die Eidgenossenschaft im 15. Jahrhundert. Die Suche nach ei | aben am Ausgang des Mittelalters, Wien/K6ln/Weimar 1993, 381; zuletzt Bernhard Stettler: Die Eidgenossenschaft im 15. Jahrhundert. Die Suche";10;10
frey-stefan;bosshard-werner;5;0;"igt und den Riickzug der Ziircher deckt. (Eidgendssische Chronik des Werner Schodoler von 1514, Bd. 1, fol. 72 v; StadtA Bremgarten; aus Ges | iircher Wirtschaftsgeschichte. Von den Anfangen bis 1500, bearb. von Werner Schnyder, Bd. 1, Ziirich 1937, Nr. 316,357,427; Monumenta German | Riickzug der Ziircher deckt. (Eidgendssische Chronik des Werner Schodoler von 1514, Bd. 1, fol. 72 v; StadtA Bremgarten; aus Geschichte des";5;5
frey-stefan;frey-stefan;3;0;Rudolf Stiissi — ein tragischer Held? Stefan Frey In der alteren Forschung zum Alten Ziirichkrieg wurde Rudolf Stiissi, Ziircher Biirger- | Wirtschaftsgeschichte (wie Anm. 3), Bd. 1, Nr. 943, 1014. Vegi. Stefan Frey: Die Entstehung eines neuen Adels? Zum Wandel der Ziircher Ober | cher Wirtschaftsgeschichte (wie Anm. 3), Bd. 1, Nr. 943, 1014. Vegi. Stefan Frey: Die Entstehung eines neuen Adels? Zum Wandel der Ziircher;3;3
frey-stefan;heinrich-speich;7;0;irgermeister Jakob Glenter starb, der zusammen mit dem 1427 verstorbenen Heinrich Meiss die ztircherische Politik wahrend Jahrzehnten domini | an der Kronung Sigmunds, als ihn der Kaiser zusammen mit Johann und Heinrich Schwend sowie G6tz Escher, die Stiissinach Rom begleitet hatten | lte Stiissi 1441 zusammen mit Biirgermeister Jakob Schwarzmurer und Heinrich Effinger einen Friedensvertrag zwischen dem Herzog und Uri.¥ E;7;7
frey-stefan;jucker-michael;1;0;n, dass das Bild, wonach Stiissi und — in seinem Gefolge — Stadtschreiber Michael Stebler genannt Graf die Hauptschuld am Krieg zu verantwor;1;1
frey-stefan;niederhauser-peter;1;0;? Ziircher Adel zwischen Spatmittelalter und Friiher Neuzeit, hg. von Peter Niederhiuser (MAGZ 70), Ziirich 2003, 203-209. Wappenbrief: Tho;1;1
frey-stefan;stettler-bernhard;4;0;5, 298-335. Zur ziircherischen Politik in diesen Jahren vgl. Bernhard Stettler: Die Zwanziger Jahre des 15. Jahrhunderts. Einzelortische Ko | 2005). Zur Situation vor dem Beginn der Kampfhandlungen vgl. Bernhard Stettler: Der ziircherische Standpunkt im Jahre 1439. Der Ziircher Ko | ich 1995, 298-335. Zur ziircherischen Politik in diesen Jahren vgl. Bernhard Stettler: Die Zwanziger Jahre des 15. Jahrhunderts. Einzelorti;4;4
langmaier-konstantin-m;Langmaier-konstantin;38;0;der Mentalität des Adels im 15. Jahrhundert Von Konstantin M. Langmaier 1. Felix Hemmerli und der „Liber de nobilitate“ Eine etwas | ie Erforschung der Mentalität des Adels im 15. Jahrhundert Von Konstantin M. Langmaier 1. Felix Hemmerli und der „Liber de nobilitat | 103 (2016) S. 178–200 (mit weiterer Literatur). 22 Konstantin M. Langmaier;38;38
langmaier-konstantin-m;bihrer-andreas;1;0;acramentum effuderunt et conservatorii pixides sibi sumpserunt. Vgl. Andreas RIGGENBACH, Der Marchenstreit zwischen Schwyz und Einsiedeln u;1;1
langmaier-konstantin-m;bosshard-werner;8;0;von Verena POSTEL, Berlin 2006, S. 133–170, hier S. 144 f. 18 Vgl. Werner PARAVICINI, Die Preußenreisen des europäischen Adels, Teil 1 (B | rinnerung in Adelsherr- schaft und bäuerlicher Gesellschaft, hg. von Werner RÖSENER (Formen der Erinnerung, Bd. 17), Göttingen 2003, S. 131 | und bäuerlicher Bevölkerung, in: Tradition und Erinnerung, hg. von Werner RÖSENER (Formen der Erinnerung, Bd. 17), Göttingen 2003, S. 173;8;8
langmaier-konstantin-m;frey-stefan;3;0;N LIEBENAU, Scenen (wie Anm. 191) S. 237 u. S. 239. Vgl. Stefan FREY, Rudolf Stüssi, ein tragischer Held?, in: Ein „Bruderkrieg“ macht Gesc | 205 VON LIEBENAU, Scenen (wie Anm. 191) S. 237 u. S. 239. Vgl. Stefan FREY, Rudolf Stüssi, ein tragischer Held?, in: Ein „Bruderkrieg“ ma | –321. 205 VON LIEBENAU, Scenen (wie Anm. 191) S. 237 u. S. 239. Vgl. Stefan FREY, Rudolf Stüssi, ein tragischer Held?, in: Ein „Bruderkrie;3;3
langmaier-konstantin-m;heinrich-speich;6;0;er dortigen Seminar- bibliothek übernommen, in dessen Tradition das Heinrich-Suso-Gymnasium steht. Genau betrachtet handelt es sich bei der | IEBER-LEHMANN, In Helvetios (wie Anm. 14) S. 49. 54 Bibliothek des Heinrich-Suso-Gymnasiums, Konstanz, Hs. 24, fol. 1r–292v. Vgl. Brigitte | erkstattbericht, in: 400 Jahre Suso-Bibliothek: 1604–2004, hg. vom Heinrich-Suso-Gymnasium, bearb. von Ulrich ZELLER, Bad Buchau 2004, S.;6;6
langmaier-konstantin-m;illi-martin;4;0;"es VI: Der Altsprachliche Unterricht in der Frühen Neuzeit, hg. von Martin KORENJAK u.a. (Comparanda, Bd. 14), Innsbruck 2010, S. 63–77. Di | Traum von Troia, Geschichte und My- thos einer ewigen Stadt, hg. von Martin ZIMMERMANN, München 2006, S. 120–134, hier S. 120 ff.; Jörn GAR | a, Geschichte und My- thos einer ewigen Stadt, hg. von Martin ZIMMERMANN, München 2006, S. 120–134, hier S. 120 ff.; Jörn GARBER, Trojaner";4;4
langmaier-konstantin-m;jucker-michael;7;0;"KLE, Kommunalismus, Skizzen, (wie Anm. 12) S. 75 f. u. S. 131; Peter Michael LIPBURGER, Quoniam si quis non vult operari nec manducet, Auff | abentausch und Netzwerkpflege im europäischen Mit- telalter, hg. von Michael GRÜNBART, Berlin 2011; Negotiating the Gift: Premodern Figurati | d Netzwerkpflege im europäischen Mit- telalter, hg. von Michael GRÜNBART, Berlin 2011; Negotiating the Gift: Premodern Figurations of Excha";7;7
langmaier-konstantin-m;landolt-oliver;5;0;rin eine reine Schmähung der Eidgenossen. Ähnlich auch: Oliver LANDOLT, Wider christenlich ordnung und kriegsbruch, Kriegsverbrechen in der | ieht darin eine reine Schmähung der Eidgenossen. Ähnlich auch: Oliver LANDOLT, Wider christenlich ordnung und kriegsbruch, Kriegsverbrechen | Kriegsverbrechen nach Möglichkeit zu unterbinden. Vgl. Oliver LANDOLT, Die Kriminalisie- rung von Kriegsverbrechen, Das Beispiel der spätm;5;5
