src;tgt;total;bib_hits;examples;text_hits;weighted
jucker-michael;heinrich-speich;2;0;s III. (1440-1493) nach Archiven und Bibliotheken geordnet, hg. von Heinrich Koller, Heft 6,Wien/Köln 1989,9-34. 12 Vgl. Niederstätter, Einl | ) nach Archiven und Bibliotheken geordnet, hg. von Heinrich Koller, Heft 6,Wien/Köln 1989,9-34. 12 Vgl. Niederstätter, Einleitung (wie Anm.;2;2
jucker-michael;illi-martin;1;0;"s du monde de la formation, in: traverse 9 (2002), Heft 3,45-54; Urs Martin Zahnd: Studium und Kanzlei. Der Bildungsweg von Stadt- und Ratss";1;1
jucker-michael;jucker-michael;12;0;Krieg als Innovationsfaktor für die Politik (1415-1460) Autor: Jucker, Michael DOI: https://doi.org/10.5169/seals-1045392 Nutzungsbedingunge | omatie Krieg als Innovationsfaktor für die Politik (1415-1460) Michael Jucker Einleitung Dass Krieg Veränderung hervorruft, scheint auf den | hrift für Historische Forschung 31 (2004), 489-527. 7 Vgl. nun Michael Jucker: Gesandte, Schreiber, Akten. Politische Kommunikation auf eidg;12;12
jucker-michael;niederhauser-peter;4;0;"eich, Regionen und Europa in Mittelalter und Neuzeit. Festschrift für Peter Moraw (Historische Forschungen 67), Berlin 2000,171-190. 5 Erwäh | : Reich und Eidgenossenschaft im 15. Jahrhundert, in: Peter Niederhäuser, Werner Fischer (Hg.): Vom «Freiheitskrieg» zum Geschichtsmythos. 5 | er (wie Anm. 25), bes. 24-26. Vgl. zu 1499 die Beiträge in: Niederhäuser, Fischer (wie Anm. 25); Gedenkschrift 500 Jahre Schlacht bei Dornac";4;4
jucker-michael;stettler-bernhard;4;0;schen Ereignisse um den Alten Zürichkrieg, diese wurden bereits von Bernhard Stettier, Hans Berger, Alois Niederstätter und weiteren ausgewi | schen Praxis manifestierten und weitere Konsequenzen hatten. So hat Bernhard Stettier treffend festgestellt, dass nach dem Alten Zürichkrieg | chen Diplomatie in der werdenden Eidgenossenschaft bezeichnet werden. Bernhard Stettier hat unlängst gezeigt, dass sich die Eidgenossenschaf;4;4
jucker-michael;zahnd-urs-martin;3;0;"monde de la formation, in: traverse 9 (2002), Heft 3,45-54; Urs Martin Zahnd: Studium und Kanzlei. Der Bildungsweg von Stadt- und Ratsschrei | s du monde de la formation, in: traverse 9 (2002), Heft 3,45-54; Urs Martin Zahnd: Studium und Kanzlei. Der Bildungsweg von Stadt- und Ratss | u monde de la formation, in: traverse 9 (2002), Heft 3,45-54; Urs Martin Zahnd: Studium und Kanzlei. Der Bildungsweg von Stadt- und Ratsschr";3;3
niederhauser-peter;bihrer-andreas;3;0;Rechnungsbuch wurde unter Aufsicht des herzoglichen Kammermeis- ters Andreas von Hollenegg? von Kammerschreiber Hans Gensterndorfer nachtrag | enopfer, Almosen. 32 Heinrich von Hewen, vgl. den Beitrag von Andreas Bihrer in diesem Band. 187 | Kirchenopfer, Almosen. 32 Heinrich von Hewen, vgl. den Beitrag von Andreas Bihrer in diesem Band. 187;3;3
niederhauser-peter;heinrich-speich;2;0;"gelder. In Konstanz beispielsweise, wo Albrecht iiber Neujahr Bischof Heinrich von Hewen besuchte, wurden Kleider, Steigbtigel, Wachs und Ti | ans von Tengen, Graf von Nellenburg und Herr von Eglisau; sein Bruder Heinrich war Rat Alb- 1 1 1 1 1 2 OO ANHDM rechts. 21 Brot. 186";2;2
niederhauser-peter;niederhauser-peter;3;0;ne Teiledition des Rechnungsbuchs von Herzog Albrecht VI. von Osterreich Peter Niederhduser Im Tiroler Landesarchiv Innsbruck findet sich | Rechnungsbuch von 1443-1445 belegt. 11 Vgl.den Beitrag von Peter Niederhauser tiber Winterthur in diesem Band. Zu beachten ist allerdings, | , wie das Rechnungsbuch von 1443-1445 belegt. 11 Vgl.den Beitrag von Peter Niederhauser tiber Winterthur in diesem Band. Zu beachten ist al;3;3
niederhauser-peter;sieber-christian;5;0;r wertvolle Hinweise danke ich Dr. Dieter Speck und vor allem Christian Sieber. 2 Zur herzoglichen Verwaltungs-Uberlieferung beispielsweise | 95. Fiir wertvolle Hinweise danke ich Dr. Dieter Speck und vor allem Christian Sieber. 2 Zur herzoglichen Verwaltungs-Uberlieferung beispie | friihen habsbur- gischen Verwaltungsstrukturen beispielsweise auch Christian Lackner: Hof und Herrschaft. Rat, Kanzlei und Regierung der ds;5;5
niederhauser-peter;speck-dieter;11;0;), Wien/K6In/Weimar 1995. Fiir wertvolle Hinweise danke ich Dr. Dieter Speck und vor allem Christian Sieber. 2 Zur herzoglichen Verwaltungs | - und Staatsarchiv Wien, Hs. blau 138. Zu Herzog Albrecht siehe Dieter Speck: Fiirst, Rate und die Anfange der Freiburger Universitat, in: A | 55-111 (mit weiterfiihrender Literatur), sowie den Beitrag von Dieter Speck im vorliegenden Band. 3 Holnecker oder Hollenegg war nach eine;11;11
