src;tgt;total;bib_hits;examples;text_hits;weighted
jucker-michael;heinrich-speich;2;0;s III. (1440-1493) nach Archiven und Bibliotheken geordnet, hg. von Heinrich Koller, Heft 6,Wien/Köln 1989,9-34. 12 Vgl. Niederstätter, Einl | ) nach Archiven und Bibliotheken geordnet, hg. von Heinrich Koller, Heft 6,Wien/Köln 1989,9-34. 12 Vgl. Niederstätter, Einleitung (wie Anm.;2;2
jucker-michael;illi-martin;1;0;"s du monde de la formation, in: traverse 9 (2002), Heft 3,45-54; Urs Martin Zahnd: Studium und Kanzlei. Der Bildungsweg von Stadt- und Ratss";1;1
jucker-michael;jucker-michael;12;0;Krieg als Innovationsfaktor für die Politik (1415-1460) Autor: Jucker, Michael DOI: https://doi.org/10.5169/seals-1045392 Nutzungsbedingunge | omatie Krieg als Innovationsfaktor für die Politik (1415-1460) Michael Jucker Einleitung Dass Krieg Veränderung hervorruft, scheint auf den | hrift für Historische Forschung 31 (2004), 489-527. 7 Vgl. nun Michael Jucker: Gesandte, Schreiber, Akten. Politische Kommunikation auf eidg;12;12
jucker-michael;niederhauser-peter;4;0;"eich, Regionen und Europa in Mittelalter und Neuzeit. Festschrift für Peter Moraw (Historische Forschungen 67), Berlin 2000,171-190. 5 Erwäh | : Reich und Eidgenossenschaft im 15. Jahrhundert, in: Peter Niederhäuser, Werner Fischer (Hg.): Vom «Freiheitskrieg» zum Geschichtsmythos. 5 | er (wie Anm. 25), bes. 24-26. Vgl. zu 1499 die Beiträge in: Niederhäuser, Fischer (wie Anm. 25); Gedenkschrift 500 Jahre Schlacht bei Dornac";4;4
jucker-michael;stettler-bernhard;4;0;schen Ereignisse um den Alten Zürichkrieg, diese wurden bereits von Bernhard Stettier, Hans Berger, Alois Niederstätter und weiteren ausgewi | schen Praxis manifestierten und weitere Konsequenzen hatten. So hat Bernhard Stettier treffend festgestellt, dass nach dem Alten Zürichkrieg | chen Diplomatie in der werdenden Eidgenossenschaft bezeichnet werden. Bernhard Stettier hat unlängst gezeigt, dass sich die Eidgenossenschaf;4;4
jucker-michael;zahnd-urs-martin;3;0;"monde de la formation, in: traverse 9 (2002), Heft 3,45-54; Urs Martin Zahnd: Studium und Kanzlei. Der Bildungsweg von Stadt- und Ratsschrei | s du monde de la formation, in: traverse 9 (2002), Heft 3,45-54; Urs Martin Zahnd: Studium und Kanzlei. Der Bildungsweg von Stadt- und Ratss | u monde de la formation, in: traverse 9 (2002), Heft 3,45-54; Urs Martin Zahnd: Studium und Kanzlei. Der Bildungsweg von Stadt- und Ratsschr";3;3
stettler-bernhard;bosshard-werner;1;0;kannt, da eine Ab­ schrift der Fründschen Chronik aus dem Besitz von Werner Steiner an ihn übergegangen war. Er taxierte das Werk jedoch al;1;1
stettler-bernhard;heinrich-speich;7;0;er zuo minn lassen betädigen [vereinbaren].»13 Der Embracher Chorherr Heinrich Brennwald stellte um 1510 die Schweizer Ge­ schichte auf ein | betädigen [vereinbaren].»13 Der Embracher Chorherr Heinrich Brennwald stellte um 1510 die Schweizer Ge­ schichte auf eine grundsätzlich ne | ten, die ihm geistig überlegen waren, insbesondere durch den Antistes Heinrich Bullinger, der sich neben seiner Amtstätigkeit mit unermüdli;7;7
stettler-bernhard;jucker-michael;2;0;it frömbden fürsten und herren».Am Beispiel des Berner Geschichtsschreibers Michael Stettler lässt sich dies exemplarisch zeigen. Michael | ichtsschreibers Michael Stettler lässt sich dies exemplarisch zeigen. Michael Stettler, ein treuer Diener seines Staats, veröffentlichte 16;2;2
stettler-bernhard;niederhauser-peter;2;0;r aidgnossen kind inn warend». Der richtunggebende Schiedsspruch des Peter von Argun von 1447 wird vom Verfasser mit Vorbehalt bejaht («wer | kind inn warend». Der richtunggebende Schiedsspruch des Peter von Argun von 1447 wird vom Verfasser mit Vorbehalt bejaht («wer den spruch;2;2
stettler-bernhard;stettler-bernhard;11;0;"Historiographie des Alten Zürichkriegs (15.-19. Jahrhundert) Bernhard Stettler In der Historiographie des Alten Zürichkriegs spiegelt sich | g den Titel «Schweitzer Chronic» erhielt. Vor deren Abfassung hatte Stettler die Chroniken von Konrad Justinger, Diebold Schilling und Val | shelm kopiert; zudem verwen­ dete er Dokumente aus dem Berner Archiv. Stettler vertrat die Auffassung, dass «ein unpartheyische und unangef";11;11
