pdf_file;canonical;kind;page;in_bib;pattern;context;weight
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/test/bosshard-werner__14.pdf;Werner Bosshard: Die Schweiz im Wandel;work;1;0;Werner\s+Bosshard;esvorbereitung Ziircher letztwillige Verfiigungen 1428-1445! Werner Bosshard Lange standen bei Untersuchungen zu den spatmittelalterliche;1.0
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/test/bosshard-werner__14.pdf;Werner Bosshard: Die Schweiz im Wandel;work;1;0;Werner\s+Bosshard;esvorbereitung Ziircher letztwillige Verfiigungen 1428-1445! Werner Bosshard Lange standen bei Untersuchungen zu den spatmittelalterliche;1.0
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/test/sutter-pascale__3.pdf;Pascale Sutter: Soziale Bewegungen in der Schweiz;work;1;0;Pascale\s+Sutter;? Der Alte Ziirichkrieg und seine Folgen fiir die Rosenstadt Pascale Sutter Dieser Beitrag stellt die wechselvolle Geschichte der Stadt u;1.0
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/test/sutter-pascale__3.pdf;Pascale Sutter: Soziale Bewegungen in der Schweiz;work;1;0;Pascale\s+Sutter;? Der Alte Ziirichkrieg und seine Folgen fiir die Rosenstadt Pascale Sutter Dieser Beitrag stellt die wechselvolle Geschichte der Stadt u;1.0
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/test/sutter-pascale__3.pdf;Michael Jucker: Körper, Sport und Gesellschaft;work;10;0;Michael\s+Jucker;ht mit Zitirich zu erneuern. Klosterarchiv Wurmsbach, A 69. 9 Michael Jucker: Gesandte, Schreiber, Akten. Politische Kommunikation auf eidg;1.0
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/test/sutter-pascale__3.pdf;Peter Niederhauser: Wirtschaftsgeschichte der Schweiz;work;10;0;Peter\s+Niederh[äa]user;sie schloss am 2. September 1407 ein Burgrecht mit Ziirich.. Peter Niederhauser: «Durch der herschafft willen lip und guot gewaget». Wintert;1.0
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/test/sutter-pascale__3.pdf;Michael Jucker: Körper, Sport und Gesellschaft;work;10;0;Michael\s+Jucker;ht mit Zitirich zu erneuern. Klosterarchiv Wurmsbach, A 69. 9 Michael Jucker: Gesandte, Schreiber, Akten. Politische Kommunikation auf eidg;1.0
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/test/sutter-pascale__3.pdf;Peter Niederhauser: Wirtschaftsgeschichte der Schweiz;work;10;0;Peter\s+Niederh[äa]user;sie schloss am 2. September 1407 ein Burgrecht mit Ziirich.. Peter Niederhauser: «Durch der herschafft willen lip und guot gewaget». Wintert;1.0
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/test/sutter-pascale__3.pdf;Peter Niederhauser: Wirtschaftsgeschichte der Schweiz;work;11;0;Peter\s+Niederh[äa]user;"i- tat); ebenso StALU, Akten A1, F1, Schachtel 63. Vgl. dazu Peter Niederhauser: «Damit si bei dem Haus Osterreich beleiben». Eidgenéssische";1.0
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/test/sutter-pascale__3.pdf;Peter Niederhauser: Wirtschaftsgeschichte der Schweiz;work;11;0;Peter\s+Niederh[äa]user;"i- tat); ebenso StALU, Akten A1, F1, Schachtel 63. Vgl. dazu Peter Niederhauser: «Damit si bei dem Haus Osterreich beleiben». Eidgenéssische";1.0
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/test/sutter-pascale__3.pdf;Peter Niederhauser: Wirtschaftsgeschichte der Schweiz;work;12;0;Peter\s+Niederh[äa]user;"12 (1962/64), 7-9; Meile-Huber (wie Anm. 9), 115 £., 240 f.; Peter Niederhauser: «Wider Gott, Ehre und Recht». Die Belagerung von Winterthur";1.0
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/test/sutter-pascale__3.pdf;Peter Niederhauser: Wirtschaftsgeschichte der Schweiz;work;12;0;Peter\s+Niederh[äa]user;"12 (1962/64), 7-9; Meile-Huber (wie Anm. 9), 115 £., 240 f.; Peter Niederhauser: «Wider Gott, Ehre und Recht». Die Belagerung von Winterthur";1.0
