src;tgt;total;bib_hits;examples;text_hits;weighted
Krieg und Todesvorbereitung (Werner, Bosshard);bosshard-werner;1;0;esvorbereitung Ziircher letztwillige Verfiigungen 1428-1445! Werner Bosshard Lange standen bei Untersuchungen zu den spatmittelalterliche;1;1
Krieg und Todesvorbereitung (Werner, Bosshard);heinrich-speich;2;0;tierli, und reben und nussbém, das mans absluog.»'® Auch der Chronist Heinrich Brennwald bringt drei Nachrichten zum Unter- suchungszeitrau | es Gemacht (ebd., B VI 306, fol. 48 r/v, 30. Januar 1444). So nimmt Heinrich Sanger die ehelichen Kinder des Ciieni Meiger, genannt Sanger,;2;2
Krieg und Todesvorbereitung (Werner, Bosshard);jucker-michael;2;0;"der Jahre 1429-1438 mit Eintra- gen von der Hand des Stadt- schreibers Michael Stebler; oben in Reinschrift, unten in Entwurfschrift als Ko | der Ziircher Schreiber- und Kanzleigeschichte auf. Dass mit der Wahl Michael Steblers zum Stadtschreiber und seiner Aufnahme ins Biirgerrech";2;2
bosshard-werner;bosshard-werner;1;0;esvorbereitung Ziircher letztwillige Verfiigungen 1428-1445! Werner Bosshard Lange standen bei Untersuchungen zu den spatmittelalterliche;1;1
bosshard-werner;heinrich-speich;2;0;tierli, und reben und nussbém, das mans absluog.»'® Auch der Chronist Heinrich Brennwald bringt drei Nachrichten zum Unter- suchungszeitrau | es Gemacht (ebd., B VI 306, fol. 48 r/v, 30. Januar 1444). So nimmt Heinrich Sanger die ehelichen Kinder des Ciieni Meiger, genannt Sanger,;2;2
bosshard-werner;jucker-michael;2;0;"der Jahre 1429-1438 mit Eintra- gen von der Hand des Stadt- schreibers Michael Stebler; oben in Reinschrift, unten in Entwurfschrift als Ko | der Ziircher Schreiber- und Kanzleigeschichte auf. Dass mit der Wahl Michael Steblers zum Stadtschreiber und seiner Aufnahme ins Biirgerrech";2;2
landolt-oliver;bosshard-werner;4;0;"r den im Gefecht auf Seiten des kö- niglichen Heeres gefallenen Grafen Werner von Homberg wie auch andere gefallene Adlige leisten (Berner-C | zwischen 1532 und 1536 entstandene Liederchronik des aus Zug stammenden Werner Steiner (1492–1542).54 Ein eindrückliches Zeugnis über die » | Zürcher Wirtschaftsgeschichte. Von den Anfängen bis 1500, bearb. von Werner Schnyder, Bd. 1, Zürich 1937,194, Nr. 359; Quellen zur Geschicht";4;4
landolt-oliver;heinrich-speich;3;0;e Gedruckte Quellen Annales Bernenses (Chronica de Berno), in: Georg Heinrich Pertz (Hg.): Annales ae- vi Suevici, Bd. 2 (Monumenta Germania | cripti cum con- tinationibus Ratisbonensi et Altahensibus,hg. v.Georg Heinrich Pertz (MGH SS rer. Germ. 7), Hannover 1891. Die Berner-Chroni | g des Sarganserlands und die Einsetzung ihres Verbündeten, des Grafen Heinrich von Werdenberg, in diese Herrschaft.31 Zusammen mit ihren zun;3;3
landolt-oliver;illi-martin;12;2;gl. Tremp: Wie fromm, S. 28. 31 Jahrzeitbuch der Pfarrkirche St. Martin, S. 122–130. 32 Siehe die Zusammenstellung in: Ebd., S. 45f. 33 Zum | 30 Vgl. Tremp: Wie fromm, S. 28. 31 Jahrzeitbuch der Pfarrkirche St. Martin, S. 122–130. 32 Siehe die Zusammenstellung in: Ebd., S. 45f. 33 | ed als Held der Schlacht bei 50 Jahrzeitbuch der Pfarrkirche St. Martin, S. 163. 51 Siehe hierzu für die spätmittelalterliche und frühneuzei;10;14
landolt-oliver;landolt-oliver;15;3;m Beispiel der Schlachtjahrzeiten in den eidgenössischen Orten Oliver Landolt † Schlachtjahrzeiten sind kirchliche Memorialgedächtnisse für | n. Neuer- dings hierzu: Hugener: Buchführung, S. 171–294. Siehe auch Landolt: Eidgenössisches »Hel- denzeitalter«, S. 77–84, mit einer Eingl | utert am Beispiel der Schlachtjahrzeiten in den eidgenössischen Orten Oliver Landolt † Schlachtjahrzeiten sind kirchliche Memorialgedächtnis;12;18
