author_id;display;surnames
jucker-michael;Jucker, Michael;jucker|michael
langmaier-konstantin-m;Langmaier, Konstantin M.;langmaier
landolt-oliver;Landolt, Oliver;landolt|oliver
sieber-christian;Sieber, Christian;sieber|christian
bihrer-andreas;Bihrer, Andreas;bihrer|andreas
bosshard-werner;Bosshard, Werner;bosshard|werner
sutter-pascale;Sutter, Pascale;sutter|pascale
stettler-bernhard;Stettler, Bernhard;stettler|bernhard
frey-stefan;Frey, Stefan;frey|stefan
illi-martin;Illi, Martin;illi|martin
rigendinger-fritz;Rigendinger, Fritz;rigendinger|fritz
speck-dieter;Speck, Dieter;speck|dieter
zahnd-urs-martin;Zahnd, Urs Martin;zahnd|martin
niederhauser-peter;Niederhauser, Peter;niederhauser|peter
heinrich-speich;Speich, Heinrich;heinrich|speich
niederstaetter-alois;Niederstätter, Alois;niederstaetter|alois
Krieg und Todesvorbereitung (Werner, Bosshard);Krieg und todesvorbereitung (werner, bosshard);Krieg und Todesvorbereitung (Werner, Bosshard)
Alter Zürichkrige, Toggenburger Erbschaftskrieg (Illi, Martin);Alter zürichkrige, toggenburger erbschaftskrieg (illi, martin);Alter Zürichkrige, Toggenburger Erbschaftskrieg (Illi, Martin)
Sources for the 1446 Confederate Campaign in the Old Zurich War (Speich, Heinrich);Sources for the 1446 confederate campaign in the old zurich war (speich, heinrich);Sources for the 1446 Confederate Campaign in the Old Zurich War (Speich, Heinrich)
Rudolf Stüssi - ein tragischer Held? (Frey, Stefan); ein tragischer held? (frey, stefan), Rudolf stüssi ;Rudolf Stüssi | ein tragischer Held? (Frey, Stefan)
Der Alte Zürichkrieg aus der regionalen Perspektive des Sarganserlands (Riegendinger, Fritz);Der alte zürichkrieg aus der regionalen perspektive des sarganserlands (riegendinger, fritz);Der Alte Zürichkrieg aus der regionalen Perspektive des Sarganserlands (Riegendinger, Fritz)
Langmaier-konstantin;Konstantin, Langmaier;Langmaier|konstantin
Hans-Ulrich-Bärchtold;Bärchtold, Hans Ulrich;Hans|Bärchtold
konstantin-m-langmaier;Langmaier, Konstantin;konstantin|langmaier
