pdf_file;page;group;label;pattern;context
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;3;generic;Chronik/Chroniken;\bchronik(?:en)?\b;"Verm; ttler ing Spiel; anhand der &€nauen Beschre; bungen in zej 'Sendssischen Chroniken und der dort Uberlieferten Dokumente kann das Vorgehen des Bischofs UNd seiner"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;4;generic;Schlacht-/Kriegserzählungen;\bkrieg(?:e|en)?\b;"Fen, Leg, Ly Tey, Cita, fae, ster, Fey, ip ""Ole, ""eg Ae mets me Lag Ua eles, Cay Krieg. icing os ret “dug %p, i a at 2Xh ae Up “Cp tire, Gey wens, Ga ep era Lu, Qe"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;6;generic;Chronik/Chroniken;\bchronicq?\b;chy hae tsi Otten er Sing also Cin Btindny,. Mit Thnep Cin, 34 Ein Vbettings. Chronic, Liey die ren cheiain Reinrion. auf watchin Weise Tes. “In Unge Var Vier VOchen
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;1;generic;Schlacht-/Kriegserzählungen;\bkrieg(?:e|en)?\b;"Krieg und qodesvorbereitne Zacher jetztwillige verfiguneTM 4428-1445"" Werner Bosshard Lange standen bei ntersuchune? qm den gpatmittelaltentih Testamenter Frage"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;1;generic;Schlacht-/Kriegserzählungen;\bkrieg(?:e|en)?\b;N aturlich stellt sich in diesem usammenhan’ querst die FL age, inwiew eit det Krieg und andere aussere Er eigmisse die Testierireaeen” peeinfiusste? Wherprift wird
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;1;generic;Schlacht-/Kriegserzählungen;\bkrieg(?:e|en)?\b;Erklarune det Gemachizablen und “aberiieferune herangeZ° gen wet den konne? (neben dem Krieg 200 Beispiel pest oder pestgerucht Klima). Dabei randelt © sich UM ein gteckenptes
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;4;work;Brennwald (Heinrich/Johannes Brennwald, Schweizerchronik);heinrich\s+brennwald;"und tierli, und reben und nussbem, das mans absluog.»"" Auch der Chronist Heinrich Brennwald bringt drei Nachrichten zum Untersuchungszeitraum, jedoch stimmen sie nur"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;4;work;Brennwald (Heinrich/Johannes Brennwald, Schweizerchronik);\bbrennwald\b;"tierli, und reben und nussbem, das mans absluog.»"" Auch der Chronist Heinrich Brennwald bringt drei Nachrichten zum Untersuchungszeitraum, jedoch stimmen sie nur teilweise"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;4;generic;Chronik/Chroniken;\bchronik(?:en)?\b;quelleninternen Informationen nur sparlich fliessen, sind wir darauf angewiesen, in den Chroniken nach moglichen dusseren Bedrohungen zu suchen, die die Bevelkerung Ziirichs
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;4;generic;Stadtchronik (generisch);\bstadt\s?chronik\b;die Bevelkerung Ziirichs veranlasst haben kennten zu testieren. Die Ziircher Stadtchronik behandelt in zwei Passagen den Zeitraum zwischen 1428 und 1438. Zuerst erfahren
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;4;generic;Stadtchronik (generisch);\bstadt\s?chronik\b;Untersuchungszeitraum, jedoch stimmen sie nur teilweise mit denjenigen aus der Stadtchronik tiberein. So greift er den kalten Winter 1431/32 ebenfalls auf: «Item in dem
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;4;generic;Schlacht-/Kriegserzählungen;\bschlacht(?:en)?\b;Belagerung der Stadt Ziirich Schlachten auf dem Hirzel und | bei St. Jakob an der Sihl Riickzug aus Pfiffikon Gefecht am Etzel ot | | | | | | | | | | 1430 1435 1440
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;4;generic;Schlacht-/Kriegserzählungen;\bkrieg(?:e|en)?\b;durchaus auf die Kriegsgeschehnisse vor. In den Gemichttexten aber findet der Krieg keine explizite Erwahnung. Hier verhielten sie sich wie in Friedenszeiten. Auch
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;10;generic;Schlacht-/Kriegserzählungen;\bkrieg(?:e|en)?\b;Werden, um zy Sehen, 0b die <iitcherinnen und Ziircher Sich auch aN8esichts Von Krieg und Seuchen kaum um das Jenseits Kimmerten SOndern Dur um die Zukunft der ibrigen
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;11;work;Brennwald (Heinrich/Johannes Brennwald, Schweizerchronik);heinrich\s+brennwald;18), Base] 1900, 191. 10 Chronik der Stadt Ziirich (wie Anm, 9), 192, ll Heinrich Brennwald, Schweizerchronik, hg. von Rudolf Luginbiih! (QSG.N. F, Abt. 1/1), Bd.
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;11;work;Brennwald (Heinrich/Johannes Brennwald, Schweizerchronik);\bbrennwald\b;Base] 1900, 191. 10 Chronik der Stadt Ziirich (wie Anm, 9), 192, ll Heinrich Brennwald, Schweizerchronik, hg. von Rudolf Luginbiih! (QSG.N. F, Abt. 1/1), Bd. 2, Basel
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;11;work;Brennwald (Heinrich/Johannes Brennwald, Schweizerchronik);\bbrennwald\b;hg. von Rudolf Luginbiih! (QSG.N. F, Abt. 1/1), Bd. 2, Basel 1910, 502. 12 Brennwald (wie Anm,. 11), 502. 13 Brennwald (wie Anm. 11), 503, 14 Koch (wie Anm, 8)
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;11;work;Brennwald (Heinrich/Johannes Brennwald, Schweizerchronik);\bbrennwald\b;F, Abt. 1/1), Bd. 2, Basel 1910, 502. 12 Brennwald (wie Anm,. 11), 502. 13 Brennwald (wie Anm. 11), 503, 14 Koch (wie Anm, 8), 119-12]. 15 Jacques Chiffoleau: La
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bosshard-werner__14.pdf;11;series;QSG (Quellen zur Schweizer Geschichte);\bqsg\b;swere des snewes brachend.» Chronik der Stadt Ziirich, hg. von Johannes Dierauer (QSG 18), Base] 1900, 191. 10 Chronik der Stadt Ziirich (wie Anm, 9), 192, ll Heinrich
