group;label;mentions;docs;weight;weighted_mentions
generic;Schlacht-/Kriegserzählungen;455;20;1.2;546.0
generic;Chronik/Chroniken;421;16;1.2;505.2
generic;Alter Zürichkrieg / Zürcherkrieg;273;12;1.2;327.6
generic;Eydgenossenschaft/Helvetia (frühneuzeitl. Schreibungen);206;14;1.2;247.2
generic;Chronicon/Chronica;132;8;1.2;158.4
generic;Memoriale/Memorialbuch;75;5;1.2;90.0
generic;St. Jakob an der Birs;28;9;1.2;33.6
generic;Jahrbuch/Jahrbücher;20;12;1.2;24.0
generic;Historia/Historiae;17;4;1.2;20.4
generic;Stadtchronik (generisch);10;6;1.2;12.0
generic;Annales/Annalen;8;2;1.2;9.6
generic;Schwabenkrieg 1499;7;4;1.2;8.4
generic;Burgunderkriege;6;5;1.2;7.2
generic;Tagebuch/Tagebücher;6;1;1.2;7.2
generic;Gesta/Acta;3;3;1.2;3.6
generic;Seeschlacht auf dem Zürichsee (1444);1;1;1.2;1.2
series;QSG (Quellen zur Schweizer Geschichte);35;11;1.0;35.0
series;MAGZ (Mitteilungen der Antiquarischen Gesellschaft in Zürich);31;8;1.0;31.0
series;SSRQ (Sammlung Schweizerischer Rechtsquellen);27;4;1.0;27.0
series;MGH (allgemein);8;4;1.0;8.0
series;ZsG (Zeitschrift für schweizerische Geschichte);6;3;1.0;6.0
series;Basler Chroniken (Reihe);4;3;1.0;4.0
series;MGH SS (Monumenta Germaniae Historica Scriptores);1;1;1.0;1.0
work;Fründ (Hans Fründ);617;12;1.0;617.0
work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);328;14;1.0;328.0
work;Bullinger (Heinrich Bullinger, historiographische Werke);77;6;1.0;77.0
work;Edlibach (Gerold Edlibach, Zürcher Chronik);53;4;1.0;53.0
work;Klingenberger/Rapperswiler Chronik (Eberhard Wüest, ed.);50;10;1.0;50.0
work;Tschachtlan (Benedikt Tschachtlan);40;6;1.0;40.0
work;Zürcher Stadtchronik (allgemein);37;5;1.0;37.0
work;Schilling (ungenau);27;5;1.0;27.0
work;Hemmerlin (Felix Hemmerlin/Malleolus);26;5;1.0;26.0
work;Brennwald (Heinrich/Johannes Brennwald, Schweizerchronik);25;6;1.0;25.0
work;Etterlin (Petermann Etterlin, Kronika);25;4;1.0;25.0
work;Vadian (Joachim Vadianus, St. Galler Chronik);19;4;1.0;19.0
work;Stumpf (Johannes Stumpf, Schweizerchronik);16;4;1.0;16.0
work;Kopp (Joseph Eutych Kopp, Geschichte der Eidgenossen);12;5;1.0;12.0
work;Justinger (Konrad Justinger, Berner Chronik);9;3;1.0;9.0
work;Simler (Josias Simler, De Helvetiorum republica / Republika Helvetiorum);9;2;1.0;9.0
work;Twinger von Königshofen (Jakob Twinger von Königshofen, Chronik);9;2;1.0;9.0
work;Berner Chronik (allgemein);6;4;1.0;6.0
work;Hottinger (Johann Jakob Hottinger, Helvetische Kirchengeschichte);6;2;1.0;6.0
work;Anshelm (Valerius Anshelm, Berner Chronik);4;1;1.0;4.0
work;Dacher (Gebhard/Gebhart Dacher, Konstanzer Chronik);3;2;1.0;3.0
work;Michael Stettler (Berner Chronik 1620–1622);3;1;1.0;3.0
work;Anonyme Basler Fortsetzung der Königshofen-Chronik („Von den von Zürich“);1;1;1.0;1.0
work;Cysat (Renward Cysat, Luzerner Chronik/Collectanea);1;1;1.0;1.0
work;Schodoler (Werner Schodoler, Eidgenössische Chronik);1;1;1.0;1.0
