pdf_file;page;group;label;pattern;context
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/chroniken_library/pdf/Fründ.pdf;1;work;Fründ (Hans Fründ);hans\s+fr[üu]nd;www.e-rara.ch Die Chronik des Hans Frund, Landschreiber zu Schwytz Frund, Hans Chur, 1875 Zentralbibliothek Zurich Shelf Mark: 43.211 Persistent Link: https://doi
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/chroniken_library/pdf/Fründ.pdf;1;work;Fründ (Hans Fründ);\bfr[üu]nd\b;www.e-rara.ch Die Chronik des Hans Frund, Landschreiber zu Schwytz Frund, Hans Chur, 1875 Zentralbibliothek Zurich Shelf Mark: 43.211 Persistent Link: https://doi
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/chroniken_library/pdf/Fründ.pdf;1;work;Fründ (Hans Fründ);chronik\s+des\s+hans\s+fr[üu]nd;www.e-rara.ch Die Chronik des Hans Frund, Landschreiber zu Schwytz Frund, Hans Chur, 1875 Zentralbibliothek Zurich Shelf Mark: 43.211 Persistent Link: https://doi
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/chroniken_library/pdf/Fründ.pdf;2;work;Fründ (Hans Fründ);hans\s+fr[üu]nd;Einleitung ’. § 1. Die Chronik von Hans Frund. Unter den handschriftlichen Aufzeichnungen des XV. Jahr¬ hunderts , welche das eidgenossische Leben jener Zeit zum
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/chroniken_library/pdf/Fründ.pdf;2;work;Fründ (Hans Fründ);hans\s+fr[üu]nd;eidgenossische Leben jener Zeit zum Gegenstande haben , nimmt die Chronik des Hans Frund eine hervorragende Stelle ein. Sein Bericht uber den Verlauf des Zurichkrieges
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/chroniken_library/pdf/Fründ.pdf;2;work;Fründ (Hans Fründ);\bfr[üu]nd\b;Einleitung ’. § 1. Die Chronik von Hans Frund. Unter den handschriftlichen Aufzeichnungen des XV. Jahr¬ hunderts , welche das eidgenossische Leben jener Zeit zum
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/chroniken_library/pdf/Fründ.pdf;2;work;Fründ (Hans Fründ);\bfr[üu]nd\b;eidgenossische Leben jener Zeit zum Gegenstande haben , nimmt die Chronik des Hans Frund eine hervorragende Stelle ein. Sein Bericht uber den Verlauf des Zurichkrieges
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/chroniken_library/pdf/Fründ.pdf;2;work;Fründ (Hans Fründ);\bfr[üu]nd\b;wurde. Durch die Mittheilung von Actenstuclcen nach ihrem Wort¬ laute hebt sich Frund charakteristisch von seinen Zeitgenossen ab , in deren Auffassung von den Erfordernissen
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/chroniken_library/pdf/Fründ.pdf;2;work;Fründ (Hans Fründ);\bfr[üu]nd\b;zu sein. Es ist nicht allein die Ausstattung mit urkundlichem Material , welche Frund seiner Chronik gab, liiefur genugende Veranlassung, sondern ebensosehr auch der
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/chroniken_library/pdf/Fründ.pdf;2;work;Fründ (Hans Fründ);chronik\s+des\s+hans\s+fr[üu]nd;das eidgenossische Leben jener Zeit zum Gegenstande haben , nimmt die Chronik des Hans Frund eine hervorragende Stelle ein. Sein Bericht uber den Verlauf des Zurichkrieges
