group;label;mentions;docs;weight;weighted_mentions
work;Schilling (ungenau);1620;5;1.0;1620.0
work;Etterlin (Petermann Etterlin, Kronika);986;3;1.0;986.0
work;Fründ (Hans Fründ);962;6;1.0;962.0
work;Edlibach (Gerold Edlibach, Zürcher Chronik);954;2;1.0;954.0
work;Wurstisen (Christian Wurstisen, Baselische Chronik);750;1;1.0;750.0
work;Tschachtlan (Benedikt Tschachtlan);458;3;1.0;458.0
work;Bullinger (Heinrich Bullinger, historiographische Werke);454;3;1.0;454.0
work;Justinger (Konrad Justinger, Berner Chronik);445;4;1.0;445.0
work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);441;6;1.0;441.0
work;Anonyme Basler Fortsetzung der Königshofen-Chronik („Von den von Zürich“);154;1;1.0;154.0
work;Johann Jakob Leu (Allgemeines Helvetisches Lexikon);113;5;1.0;113.0
work;Knebel (Johannes Knebel, Basler Jahrzeitbuch/Chronik);90;1;1.0;90.0
work;Schodoler (Werner Schodoler, Eidgenössische Chronik);68;2;1.0;68.0
work;Berner Chronik (allgemein);67;3;1.0;67.0
work;Anshelm (Valerius Anshelm, Berner Chronik);65;1;1.0;65.0
work;Klingenberger/Rapperswiler Chronik (Eberhard Wüest, ed.);36;1;1.0;36.0
work;Vadian (Joachim Vadianus, St. Galler Chronik);19;2;1.0;19.0
work;Hottinger (Johann Jakob Hottinger, Helvetische Kirchengeschichte);15;1;1.0;15.0
work;Stumpf (Johannes Stumpf, Schweizerchronik);15;1;1.0;15.0
work;Dacher (Gebhard/Gebhart Dacher, Konstanzer Chronik);12;1;1.0;12.0
work;Brennwald (Heinrich/Johannes Brennwald, Schweizerchronik);10;1;1.0;10.0
work;Kopp (Joseph Eutych Kopp, Geschichte der Eidgenossen);10;1;1.0;10.0
work;Zürcher Stadtchronik (allgemein);5;1;1.0;5.0
work;Rüeger (Johann Jakob Rüeger, Schaffhauser Chronik);4;1;1.0;4.0
