pdf_file;page;group;label;pattern;context
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;4;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);aegidi(?:us)?\s+tschudi;von der eidgendssischen als «der boeB frid» bezeichnet, auch wenn erst Aegidius Tschudi explizit den Bischof, der «Frieden sucht um jeden Preis», ftir das Scheitern
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;4;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);\btschudi\b;von der eidgendssischen als «der boeB frid» bezeichnet, auch wenn erst Aegidius Tschudi explizit den Bischof, der «Frieden sucht um jeden Preis», ftir das Scheitern
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;8;work;Dacher (Gebhard/Gebhart Dacher, Konstanzer Chronik);(?:gebhard|gebhart)\s+dacher;und Kulturgeschichte, Beromiinster 1976, 30 f., 316. 2 Vgl. Chronik des Gebhard Dacher, in: Das alte Konstanz in Schrift und Stift. Die Chroniken der Stadt Konstanz
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;9;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);\btschudi\b;"URStAZ, Bd. 6, Nr. 8495. Vgl. die Schilderung in: Klingenberger Chronik, 255; Tschudi, Bd. 10, 160. 14 EA, Bd. 2, Beilage Nr. 15. 162"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;9;work;Klingenberger/Rapperswiler Chronik (Eberhard Wüest, ed.);klingenberger\s+chronik;"EA, Bd. 2, Nr. 213 = URStAZ, Bd. 6, Nr. 8495. Vgl. die Schilderung in: Klingenberger Chronik, 255; Tschudi, Bd. 10, 160. 14 EA, Bd. 2, Beilage Nr. 15. 162"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Edlibach (Gerold Edlibach, Zürcher Chronik);\bedlibach\b;veld komen wer.» Tschudi, Bd. 11, 190. 20 Vgl. Klingenberger Chronik, 327, bzw. Edlibach, 43, oder Johannes Stumpf: Gemeiner loblicher Eydgnoschafft Stetten, Landen
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Stumpf (Johannes Stumpf, Schweizerchronik);johannes\s+stumpf;Bd. 11, 190. 20 Vgl. Klingenberger Chronik, 327, bzw. Edlibach, 43, oder Johannes Stumpf: Gemeiner loblicher Eydgnoschafft Stetten, Landen und V6lckeren Chronick
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);\btschudi\b;"von August Bernoulli, Leipzig 1895, 201-325, hier 244 f. 16 Friind, 152 f.; Tschudi, Bd. 11, 161; REC, Bd. 4, Nr. 10780-10781. Zur Vermittlertatigkeit Friedrichs"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);\btschudi\b;"Gatz (wie Anm. 1), 776. 17 Klingenberger Chronik, 325-327; Friind, 163-168; Tschudi, Bd. 11, 181-200. Ein ausfiihrlicher Vergleich der Geschichtsschreiber bei Bernhard"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);\btschudi\b;ausfiihrlicher Vergleich der Geschichtsschreiber bei Bernhard Stettler: [Kommentar], in: Tschudi, Bd. 11, 192-194. Der Abdruck des Waffenstillstands im Wortlaut bei Friind,
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);\btschudi\b;192-194. Der Abdruck des Waffenstillstands im Wortlaut bei Friind, 163-168, und Tschudi, Bd. 11, 193-201, nach der Originalurkunde, wieder in EA, Bd. 2, Nr. 268, Beilage
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);\btschudi\b;noch vermehren. Freundliche Mitteilung von Andre Gutmann, Freiburg i. Br. 19 Tschudi schliesst aus der Urkunde tiberdies, dass Heinrich seine Autoritet den Eidgenossen
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);\btschudi\b;er selbs als ein itbelmdegender krancker herr zuo inen in das veld komen wer.» Tschudi, Bd. 11, 190. 20 Vgl. Klingenberger Chronik, 327, bzw. Edlibach, 43, oder Johannes
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);\btschudi\b;"Rolle des Konstanzer Bischofs vgl.: Klingenberger Chronik, 334; Friind, 171-185; Tschudi, Bd. 11, 229-246; EA, Bd. 2, Nr.273 = REC, Bd. 4, Nr. 10910; URStAZ, Bd. 6,"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Tschudi (Aegidius/Gilg Tschudi, Chronicon Helveticum);\btschudi\b;"11041, 11043, 11069, 11186, 11194, 11203, 11228, 11241. 25 EA, Bd. 2, Nr. 363; Tschudi, Bd. 12, 177-181 = REC, Bd. 4, Nr. 11413. 26 EA, Bd. 2, Nr.320b = REC, Bd. 4"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Klingenberger/Rapperswiler Chronik (Eberhard Wüest, ed.);klingenberger\s+chronik;"hier 66; Helvetia Sacra 1,1 (wie Anm. 1), 195; Gatz (wie Anm. 1), 776. 17 Klingenberger Chronik, 325-327; Friind, 163-168; Tschudi, Bd. 11, 181-200. Ein ausfiihrlicher"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Klingenberger/Rapperswiler Chronik (Eberhard Wüest, ed.);klingenberger\s+chronik;krancker herr zuo inen in das veld komen wer.» Tschudi, Bd. 11, 190. 20 Vgl. Klingenberger Chronik, 327, bzw. Edlibach, 43, oder Johannes Stumpf: Gemeiner loblicher Eydgnoschafft
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Klingenberger/Rapperswiler Chronik (Eberhard Wüest, ed.);klingenberger\s+chronik;"194. 21 Zum Tag und zur fiihrenden Rolle des Konstanzer Bischofs vgl.: Klingenberger Chronik, 334; Friind, 171-185; Tschudi, Bd. 11, 229-246; EA, Bd. 2, Nr.273 ="
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/bihrer-andreas__5.pdf;10;work;Klingenberger/Rapperswiler Chronik (Eberhard Wüest, ed.);klingenberger\s+chronik;den Uberblick bei Niederstatter (wie Anm. 12),251-256. Das Zitat nach Klingenberger Chronik, 334. Der Chronist fiigte hinzu: «Darumb ich darvon nit vil schrib.»
